ID,Name,date,Mean,Low,High,AOR,AWS,ATM
119,¼ö¿ø,2020-01-12,-0.5,-3.9,2.4,,1.9,1013.8
119,¼ö¿ø,2020-01-13,-2,-4.6,0.6,,2.1,1018.6
119,¼ö¿ø,2020-01-14,-2,-6.1,3.2,,1.2,1021.2
119,¼ö¿ø,2020-01-15,-2.5,-7,2.3,,1.6,1023.9
119,¼ö¿ø,2020-01-16,-2,-6.9,4.1,,1.5,1022.5
119,¼ö¿ø,2020-01-17,-1.1,-5.6,4.8,,1,1018.7
119,¼ö¿ø,2020-01-18,-0.5,-5.3,5.6,,1.1,1017.1
119,¼ö¿ø,2020-01-19,1.7,-2.1,5.9,0.4,2,1014.4
119,¼ö¿ø,2020-01-20,1.2,-2.8,5.7,0,2.5,1018.5
119,¼ö¿ø,2020-01-21,-0.7,-5.9,5.4,,1,1025
119,¼ö¿ø,2020-01-22,2.1,-1.3,5.1,0,1.1,1020.7
119,¼ö¿ø,2020-01-23,4.1,-1.4,10.7,,1.5,1019.4
119,¼ö¿ø,2020-01-24,2.4,-2.2,9.2,,1.4,1025.5
119,¼ö¿ø,2020-01-25,2.8,-2.2,9.1,,0.9,1024.6
119,¼ö¿ø,2020-01-26,5.3,-2.7,11.9,,2,1022.1
119,¼ö¿ø,2020-01-27,5.9,3.5,8.1,1.4,2.8,1015.9
119,¼ö¿ø,2020-01-28,7.4,3.9,11,0.1,1.7,1013.3
119,¼ö¿ø,2020-01-29,6.2,1,11.4,,1.2,1011
119,¼ö¿ø,2020-01-30,5.3,0.7,10.5,,1.5,1010.3
119,¼ö¿ø,2020-01-31,2.9,-0.5,7.5,,1.6,1015.2
119,¼ö¿ø,2020-02-01,1.9,-2.2,7.7,,1.6,1019.6
119,¼ö¿ø,2020-02-02,1,-3.5,5.8,0,1.2,1021
119,¼ö¿ø,2020-02-03,-0.1,-2.9,3,0.1,2.6,1022.6
119,¼ö¿ø,2020-02-04,-1,-7,5.1,1.1,2.4,1021.9
119,¼ö¿ø,2020-02-05,-7.2,-9.9,-2.4,,3.4,1027.2
119,¼ö¿ø,2020-02-06,-6.3,-11.9,0.2,,1.2,1029.2
119,¼ö¿ø,2020-02-07,-1.5,-7.9,2.8,0,1.4,1024.8
119,¼ö¿ø,2020-02-08,0.4,-2.2,4.6,,2.8,1022.8
119,¼ö¿ø,2020-02-09,-0.9,-7,3.9,,1.6,1021
119,¼ö¿ø,2020-02-10,3.2,-1.9,10.5,,1.2,1019.4
119,¼ö¿ø,2020-02-11,5.9,-2.9,14.5,,1.1,1022.2
119,¼ö¿ø,2020-02-12,7.3,5.3,8.4,10.5,1.3,1012.2
119,¼ö¿ø,2020-02-13,5.9,3.6,7.6,,1.2,1014.9
119,¼ö¿ø,2020-02-14,6.5,2,13.3,,1,1016.2
119,¼ö¿ø,2020-02-15,8.7,3,15.3,1.7,1.9,1013.1
119,¼ö¿ø,2020-02-16,-1.1,-3.7,5,8,3.9,1009.2
119,¼ö¿ø,2020-02-17,-4.8,-6.6,-3.1,0.4,3.7,1013.8
119,¼ö¿ø,2020-02-18,-3.6,-7.9,1.5,,1.9,1022.9
119,¼ö¿ø,2020-02-19,1.1,-4.7,6.3,,0.9,1025.4
119,¼ö¿ø,2020-02-20,4.4,-0.5,11.6,,1.1,1028.6
119,¼ö¿ø,2020-02-21,6.5,0.4,11.9,5.1,1.4,1024.6
119,¼ö¿ø,2020-02-22,4.4,0.4,8,4.5,4.7,1020.7
119,¼ö¿ø,2020-02-23,2.2,-3.5,7.8,,1.7,1024.5
119,¼ö¿ø,2020-02-24,7,-0.7,13.7,,1.1,1019.6
119,¼ö¿ø,2020-02-25,6.8,5.6,8.3,22.6,2.2,1012.9
119,¼ö¿ø,2020-02-26,5.6,1.1,11.4,,1.7,1018.6
119,¼ö¿ø,2020-02-27,5.5,0.2,11.6,,1.3,1023
119,¼ö¿ø,2020-02-28,4.6,2.9,5.7,5.2,1.1,1018
119,¼ö¿ø,2020-02-29,7,3.3,13,,1.4,1013.6
119,¼ö¿ø,2020-03-01,4.8,0.4,10.2,0,1.6,1014.1
119,¼ö¿ø,2020-03-02,3.1,0.6,6.8,0,2.8,1019.2
119,¼ö¿ø,2020-03-03,4.6,-0.9,10.8,,2,1019.4
119,¼ö¿ø,2020-03-04,2.5,-0.9,5.3,0.2,4.1,1017.9
119,¼ö¿ø,2020-03-05,1.1,-2.3,5.6,,2.3,1020.8
119,¼ö¿ø,2020-03-06,3.1,-3.8,10.4,,1.3,1017.8
119,¼ö¿ø,2020-03-07,5.3,-0.8,12.9,,1.2,1013.5
119,¼ö¿ø,2020-03-08,7.4,-1.1,17.1,,1.2,1014
119,¼ö¿ø,2020-03-09,9.5,1.2,16.6,0.2,1.2,1009.5
119,¼ö¿ø,2020-03-10,6.6,3.9,8.9,7.3,2.9,1003.5
119,¼ö¿ø,2020-03-11,3.5,0.4,7.3,,3.1,1014.1
119,¼ö¿ø,2020-03-12,6.5,-1,14.1,,2.2,1017.1
119,¼ö¿ø,2020-03-13,5.4,0.3,9.7,0.1,3.2,1017.2
119,¼ö¿ø,2020-03-14,3.9,-2.9,8.9,,3,1011.3
119,¼ö¿ø,2020-03-15,4.5,1,9.4,,4.1,1007.5
119,¼ö¿ø,2020-03-16,3.3,-2.4,9.5,,2.1,1017.6
119,¼ö¿ø,2020-03-17,5.9,1.5,12.8,,2.1,1011.4
119,¼ö¿ø,2020-03-18,9.4,-0.9,17.8,,1.5,1008.7
119,¼ö¿ø,2020-03-19,8.7,6.6,13.5,,5.7,1002.5
119,¼ö¿ø,2020-03-20,8.7,2.6,14.7,,2.9,1009.5
119,¼ö¿ø,2020-03-21,11.8,4.4,20.4,,1.8,1007.2
119,¼ö¿ø,2020-03-22,10.9,5.1,17.2,,2.8,1009.8
119,¼ö¿ø,2020-03-23,9.3,3.2,16.7,,2.1,1013
119,¼ö¿ø,2020-03-24,9.6,2.2,17.6,,1.5,1015.8
119,¼ö¿ø,2020-03-25,11.8,2.6,19.9,,1.5,1015.6
119,¼ö¿ø,2020-03-26,14.1,6.3,20.9,4.1,1.6,1010.6
119,¼ö¿ø,2020-03-27,11.1,6.8,13.9,7.6,3.4,1009.2
119,¼ö¿ø,2020-03-28,7.5,4.4,12.8,,3.2,1016.7
119,¼ö¿ø,2020-03-29,7.4,-1,15.8,,1.6,1016.9
119,¼ö¿ø,2020-03-30,8.3,1.5,15.8,,1.5,1016.1
119,¼ö¿ø,2020-03-31,9.8,1,18,,1.5,1013.1
119,¼ö¿ø,2020-04-01,11.1,6.6,17.6,,3,1010.4
119,¼ö¿ø,2020-04-02,8.7,1.9,15.4,,2,1017.8
119,¼ö¿ø,2020-04-03,9.1,3.8,15.6,,2.1,1016.9
119,¼ö¿ø,2020-04-04,8.9,4.6,13.7,,3.5,1014.7
119,¼ö¿ø,2020-04-05,6.7,2,11.8,,2.6,1018
119,¼ö¿ø,2020-04-06,8.2,1.1,15.7,,2.2,1016.3
119,¼ö¿ø,2020-04-07,9.6,3.8,17.4,,2.1,1011.6
119,¼ö¿ø,2020-04-08,8.8,3.7,13.9,,3.3,1014
119,¼ö¿ø,2020-04-09,8.2,2,14,,2.3,1017.7
119,¼ö¿ø,2020-04-10,9.3,2.9,16,,2,1020
119,¼ö¿ø,2020-04-11,8.4,4.1,14.8,,1.6,1015.3
119,¼ö¿ø,2020-04-12,9.6,2.4,15.5,,2.3,1009.7
119,¼ö¿ø,2020-04-13,10.7,5.1,19.5,,2.5,1009.8
119,¼ö¿ø,2020-04-14,11.3,4.9,18.8,,2.1,1012.3
119,¼ö¿ø,2020-04-15,11.5,3.3,19.6,,1.7,1010.5
119,¼ö¿ø,2020-04-16,14.3,5.1,23.5,,1.9,1011.8
119,¼ö¿ø,2020-04-17,12.4,9.8,17,4.1,3,1008.1
119,¼ö¿ø,2020-04-18,12.8,9.1,18.1,,2.5,1011.6
119,¼ö¿ø,2020-04-19,11.8,8.6,15.5,11.5,2,1009.6
119,¼ö¿ø,2020-04-20,10.3,7.1,14.6,0.2,3,1006.7
119,¼ö¿ø,2020-04-21,7.5,5,10.6,,4.5,1010.3
119,¼ö¿ø,2020-04-22,6.7,5,9.1,0,5.1,1012.1
119,¼ö¿ø,2020-04-23,8,3.1,12.8,,4,1011.8
119,¼ö¿ø,2020-04-24,9.9,2.7,15.4,,3.8,1009.3
119,¼ö¿ø,2020-04-25,13.1,8.7,18.4,,3.9,1005.4
119,¼ö¿ø,2020-04-26,11.8,5.2,18.4,,2.5,1012.9
119,¼ö¿ø,2020-04-27,12,6.7,18.1,,2.3,1015.4
119,¼ö¿ø,2020-04-28,13.6,6,21,,2.5,1015.4
119,¼ö¿ø,2020-04-29,14.4,8.8,21.8,,2,1014.9
119,¼ö¿ø,2020-04-30,16.3,6.6,23.8,,2,1011.4
119,¼ö¿ø,2020-05-01,20.4,15.9,27,,2.2,1008.6
119,¼ö¿ø,2020-05-02,20.8,18.3,25.3,0.1,2,1006.8
119,¼ö¿ø,2020-05-03,21.1,16.2,26,0.6,1.9,1001.4
119,¼ö¿ø,2020-05-04,18.3,12.1,23.7,,2.3,1003.9
119,¼ö¿ø,2020-05-05,14.2,11,20.3,2.5,1.2,1007.3
119,¼ö¿ø,2020-05-06,17.8,8.8,26.8,,1.6,1009.3
119,¼ö¿ø,2020-05-07,20.6,14,25.9,,2.5,1012.7
119,¼ö¿ø,2020-05-08,18.9,14.3,25,3.1,2,1010.1
119,¼ö¿ø,2020-05-09,14.7,12.9,17.3,23.2,3.2,1000.2
119,¼ö¿ø,2020-05-10,14.2,12.8,17.1,0.5,2,1003
119,¼ö¿ø,2020-05-11,16.4,12.1,22.4,1.2,2.1,1003.6
119,¼ö¿ø,2020-05-12,14.1,9.5,18.7,1,2.8,1001.2
119,¼ö¿ø,2020-05-13,15.8,8.6,22,,2.6,1011.2
119,¼ö¿ø,2020-05-14,20,11.7,26.3,,1.2,1011.5
119,¼ö¿ø,2020-05-15,16.2,14.5,21.3,12.6,2.6,1003.9
119,¼ö¿ø,2020-05-16,16.5,14.9,19.1,1.2,1.2,1002.3
119,¼ö¿ø,2020-05-17,19.1,14.3,25.7,0.1,1.4,1000.7
119,¼ö¿ø,2020-05-18,19.2,12.9,27.7,36.7,2.5,994.1
119,¼ö¿ø,2020-05-19,13.5,10.9,18.3,3.9,2.4,995.9
119,¼ö¿ø,2020-05-20,14.1,9.7,19.9,,1.1,1007.2
119,¼ö¿ø,2020-05-21,17.1,10.3,22.1,,1.2,1010
119,¼ö¿ø,2020-05-22,18.2,13.1,23,0,1.5,1008.2
119,¼ö¿ø,2020-05-23,19.9,15.8,25.4,,1.6,1006.7
119,¼ö¿ø,2020-05-24,16.8,13.5,19.6,9.9,2.6,1005.5
119,¼ö¿ø,2020-05-25,15.5,12.6,20,0,1.5,1008
119,¼ö¿ø,2020-05-26,16.1,12.6,23.6,0.1,1.7,1005.1
119,¼ö¿ø,2020-05-27,17.1,12,24.1,,2.3,1004.9
119,¼ö¿ø,2020-05-28,18,12.5,23.8,,1.7,1005.3
119,¼ö¿ø,2020-05-29,19.4,13.1,27.4,,1.6,1010.5
119,¼ö¿ø,2020-05-30,21.6,15.1,29.7,,1.6,1011.7
119,¼ö¿ø,2020-05-31,20.4,15.8,27.6,1.2,2,1007.2
119,¼ö¿ø,2020-06-01,18.9,14,24,0.2,3.3,1005.8
119,¼ö¿ø,2020-06-02,18.3,13,23.3,1.1,1.9,1003.2
119,¼ö¿ø,2020-06-03,21.9,18,28,0.1,1.8,999.5
119,¼ö¿ø,2020-06-04,22.3,19,27.4,0.4,2.2,999.7
119,¼ö¿ø,2020-06-05,21.5,18.3,27.9,0,1.7,1002.8
119,¼ö¿ø,2020-06-06,23.3,16.7,30.7,,1.7,1003.7
119,¼ö¿ø,2020-06-07,21.6,17.7,28.4,,1.7,1007.5
119,¼ö¿ø,2020-06-08,24.1,17.9,31.5,,1.7,1010.2
119,¼ö¿ø,2020-06-09,25.7,18,32.7,,1.8,1009.8
119,¼ö¿ø,2020-06-10,25.4,19.6,32.5,10.8,1.6,1004.4
119,¼ö¿ø,2020-06-11,25.4,21.6,31,0,2.1,999.1
119,¼ö¿ø,2020-06-12,23.4,19.5,27.6,0,1.3,1000.7
119,¼ö¿ø,2020-06-13,25.7,20.3,32.4,0.1,1.6,999.8
119,¼ö¿ø,2020-06-14,22.9,18.7,28,1.1,2.5,1000.1
119,¼ö¿ø,2020-06-15,22.3,17.2,27.9,,2.2,1002.4
119,¼ö¿ø,2020-06-16,23.4,19.6,29.5,,1.9,1001.3
119,¼ö¿ø,2020-06-17,22.9,18,29.1,,1.8,1001
119,¼ö¿ø,2020-06-18,22.7,19.4,26.3,0,1.1,998.6
119,¼ö¿ø,2020-06-19,23.8,19.9,29.1,0.4,1.7,1001.9
119,¼ö¿ø,2020-06-20,23.6,18.7,29.3,,1.9,1005.7
119,¼ö¿ø,2020-06-21,24.2,18.5,31.9,,1.7,1003.5
119,¼ö¿ø,2020-06-22,26.5,19.2,34,,1.5,1003.7
119,¼ö¿ø,2020-06-23,25.5,20.8,30.2,0,1.4,1003.9
119,¼ö¿ø,2020-06-24,22.5,20.4,26.4,14.1,2.8,998.3
119,¼ö¿ø,2020-06-25,21.6,19.8,23.6,4.4,2.2,997.3
119,¼ö¿ø,2020-06-26,21.8,18.7,25.8,2.1,2.8,1002.2
119,¼ö¿ø,2020-06-27,23.7,20,29.3,0,1.5,1000.9
119,¼ö¿ø,2020-06-28,23.5,20,28.7,,2.1,1000.3
119,¼ö¿ø,2020-06-29,22.7,17.3,26.8,29.5,2.6,997
119,¼ö¿ø,2020-06-30,20.2,17.9,23,26.8,2.7,989.1
119,¼ö¿ø,2020-07-01,20.8,17.5,24.6,0.5,1.3,1000.5
119,¼ö¿ø,2020-07-02,23.8,19,29.5,0.6,1.6,1006.4
119,¼ö¿ø,2020-07-03,23.8,19.6,29,0.5,2.4,1006.1
119,¼ö¿ø,2020-07-04,22.5,18.5,28.2,1,1.5,1002.7
119,¼ö¿ø,2020-07-05,22.6,18.1,28.1,,1.4,1000
119,¼ö¿ø,2020-07-06,24.6,20.1,30.5,,1.6,996.6
119,¼ö¿ø,2020-07-07,23.3,20.7,27.9,,2,999.8
119,¼ö¿ø,2020-07-08,23.6,19.9,29.6,,1.8,1000.5
119,¼ö¿ø,2020-07-09,27,20,33,,1.5,999.3
119,¼ö¿ø,2020-07-10,25.8,23.1,29.1,0.8,2.3,997.3
119,¼ö¿ø,2020-07-11,26,21,30.6,,1.9,1002.5
119,¼ö¿ø,2020-07-12,23.2,20.8,25.6,4.8,2.9,1004.6
119,¼ö¿ø,2020-07-13,19,18.3,20.8,47.2,3.8,998
119,¼ö¿ø,2020-07-14,20.8,17.6,23.9,16.2,2,999
119,¼ö¿ø,2020-07-15,22.3,18.7,27.9,0.2,1.4,1000.9
119,¼ö¿ø,2020-07-16,23.3,18,29,,1.6,1002.5
119,¼ö¿ø,2020-07-17,24.4,20.4,29.8,,1.7,1003.9
119,¼ö¿ø,2020-07-18,25.2,20.5,30,,1.4,1003.9
119,¼ö¿ø,2020-07-19,25.1,20.5,28.1,35.6,3.1,1000.1
119,¼ö¿ø,2020-07-20,24,22.5,27.8,1.8,3.1,1001.7
119,¼ö¿ø,2020-07-21,24.7,21.5,29.9,,1.4,1007.2
119,¼ö¿ø,2020-07-22,22.6,21.7,23.7,92.9,0.9,1005.4
119,¼ö¿ø,2020-07-23,21.6,19.7,23.1,90.1,3.2,1000.5
119,¼ö¿ø,2020-07-24,23.3,20.3,27.2,1.4,3.1,993.9
119,¼ö¿ø,2020-07-25,25.2,22.4,29.4,,2,998.5
119,¼ö¿ø,2020-07-26,25,22.5,29.2,0,1.5,1002.6
119,¼ö¿ø,2020-07-27,24.6,22.6,27.1,1.9,1.1,1003.8
119,¼ö¿ø,2020-07-28,24.2,22.8,25.7,1.9,1.4,1005.8
119,¼ö¿ø,2020-07-29,24.7,23.2,27.8,87,1.6,1007.1
119,¼ö¿ø,2020-07-30,24.8,22.6,28.3,0.2,1.5,1008.8
119,¼ö¿ø,2020-07-31,25.9,22.5,30,0.1,1.3,1009.4
119,¼ö¿ø,2020-08-01,26.2,24,29.2,28.7,2,1005.9
119,¼ö¿ø,2020-08-02,25.2,23.3,28.1,86.7,2,1003.4
119,¼ö¿ø,2020-08-03,25,23,26.8,96.9,2.5,1004.1
119,¼ö¿ø,2020-08-04,27.4,23.8,30.4,0.2,2,1006.4
119,¼ö¿ø,2020-08-05,27,25.2,29.1,20.5,2.3,1006.2
119,¼ö¿ø,2020-08-06,24.3,22.8,26.2,131.5,3.6,1001.2
119,¼ö¿ø,2020-08-07,24.2,22.4,25.9,0.2,1.5,1002.1
119,¼ö¿ø,2020-08-08,24,22.7,25,12.3,2.1,998.4
119,¼ö¿ø,2020-08-09,25.3,24.1,27.7,134.2,2.7,998.1
119,¼ö¿ø,2020-08-10,26.6,24.9,30.5,22.3,1.9,999.1
119,¼ö¿ø,2020-08-11,25.4,23.5,28.3,16.2,1.9,1004.9
119,¼ö¿ø,2020-08-12,27.2,23.4,30.9,0,0.9,1008
119,¼ö¿ø,2020-08-13,28.2,25.9,32.1,0,2.2,1004.7
119,¼ö¿ø,2020-08-14,27.7,26.3,29.9,0,3,1001.4
119,¼ö¿ø,2020-08-15,26.7,25.1,29.3,46.6,1.6,1004.1
119,¼ö¿ø,2020-08-16,27.5,24.7,31.6,,2.2,1006.5
119,¼ö¿ø,2020-08-17,28.1,25.1,32.8,,1.5,1009.1
119,¼ö¿ø,2020-08-18,26.9,23.1,32.2,,1.2,1008.7
119,¼ö¿ø,2020-08-19,26.7,22.8,32.1,,1.7,1007.1
119,¼ö¿ø,2020-08-20,27.4,23.3,33,,1.4,1007.8
119,¼ö¿ø,2020-08-21,27.6,23.8,31.4,0,1.5,1009.1
119,¼ö¿ø,2020-08-22,25,22,29.4,30.2,1.6,1007.7
119,¼ö¿ø,2020-08-23,25.7,21.7,30.4,,1.3,1004
119,¼ö¿ø,2020-08-24,27.7,22.5,32,,1.6,1000.6
119,¼ö¿ø,2020-08-25,29.7,24.6,34.9,0,1.7,1000.2
119,¼ö¿ø,2020-08-26,30.3,26.8,34.2,1,4.1,997
119,¼ö¿ø,2020-08-27,27.9,25.9,30,10.9,4.3,996.7
119,¼ö¿ø,2020-08-28,27.7,25.5,30.9,2.3,1.7,1002.6
119,¼ö¿ø,2020-08-29,26.4,24.9,28.9,18.3,1.2,1004.5
119,¼ö¿ø,2020-08-30,26.8,24.8,30.9,0.1,1.3,1006.9
119,¼ö¿ø,2020-08-31,27.4,24.5,30.8,0.2,2.6,1007.5
119,¼ö¿ø,2020-09-01,26.1,23.5,29.7,0.4,1.8,1004.7
119,¼ö¿ø,2020-09-02,24.3,22.8,26,17.9,1.7,998.5
119,¼ö¿ø,2020-09-03,22.7,19.7,26.3,31.5,5.1,993.6
119,¼ö¿ø,2020-09-04,23.1,19.1,27.4,,1.9,1007.8
119,¼ö¿ø,2020-09-05,23.3,19.3,27.5,0,1.5,1009
119,¼ö¿ø,2020-09-06,21.4,18.9,25,9.4,1.5,1004.4
119,¼ö¿ø,2020-09-07,19.5,16.7,22.4,59.9,4.4,988.6
119,¼ö¿ø,2020-09-08,23.3,21,26.9,,3.4,1004.8
119,¼ö¿ø,2020-09-09,20.5,17.6,25.3,10.8,1.6,1005.5
119,¼ö¿ø,2020-09-10,22.3,18.1,27.6,0,1.2,1004.7
119,¼ö¿ø,2020-09-11,22.2,18.5,26.3,6.3,1.8,1009.8
119,¼ö¿ø,2020-09-12,20,17.8,22.1,8.3,1.2,1011.3
119,¼ö¿ø,2020-09-13,21.3,16.8,26.6,,1.5,1011.1
119,¼ö¿ø,2020-09-14,21,16.1,26,,1.4,1010
119,¼ö¿ø,2020-09-15,22.6,18.7,27.4,,1.2,1008.1
119,¼ö¿ø,2020-09-16,21.8,19.7,25.4,0,1.8,1005.3
119,¼ö¿ø,2020-09-17,20.8,18.8,24,,1.3,1005.9
119,¼ö¿ø,2020-09-18,21.2,17.7,26,,2.2,1008.6
119,¼ö¿ø,2020-09-19,19.8,15.7,26.3,10.2,1.9,1010.8
119,¼ö¿ø,2020-09-20,18.6,13.5,24.9,,1.4,1012.7
119,¼ö¿ø,2020-09-21,18.3,12.6,24.6,,0.9,1013.7
119,¼ö¿ø,2020-09-22,19.9,15,25.1,,2,1014.1
119,¼ö¿ø,2020-09-23,19.4,15.7,23.5,,2.2,1013.5
119,¼ö¿ø,2020-09-24,21.1,17.6,25.7,,2.5,1010.5
119,¼ö¿ø,2020-09-25,20.6,14.9,25.5,,1.8,1008.9
119,¼ö¿ø,2020-09-26,20,15.7,24.9,,2.1,1012
119,¼ö¿ø,2020-09-27,20,15.4,26,,1.3,1014
119,¼ö¿ø,2020-09-28,19.6,14.1,26,,1.1,1012.1
119,¼ö¿ø,2020-09-29,18.9,13.9,24.4,,1.2,1007.2
119,¼ö¿ø,2020-09-30,18.8,14.6,24.9,8.7,0.8,1006.2
119,¼ö¿ø,2020-10-01,18.7,15.1,24.3,,1.6,1009
119,¼ö¿ø,2020-10-02,19.2,14.5,23.8,0,1.8,1010.5
119,¼ö¿ø,2020-10-03,19.6,16.9,23.8,21.9,0.9,1010.5
119,¼ö¿ø,2020-10-04,17.1,11.5,22,0,2.6,1008.3
119,¼ö¿ø,2020-10-05,13.6,7.4,18.3,,2.1,1013.6
119,¼ö¿ø,2020-10-06,13.7,7.5,19.8,,1.5,1017.9
119,¼ö¿ø,2020-10-07,15.4,8.6,21.7,,1.2,1021.2
119,¼ö¿ø,2020-10-08,17.3,10.8,23.4,,2.3,1022.1
119,¼ö¿ø,2020-10-09,17.3,10.2,23.5,,2.3,1018.7
119,¼ö¿ø,2020-10-10,16.6,10.3,21.5,,1.3,1015.2
119,¼ö¿ø,2020-10-11,16.2,12.9,20.6,,1.3,1011.7
119,¼ö¿ø,2020-10-12,15.4,11.5,21.2,,1.6,1011
119,¼ö¿ø,2020-10-13,12.4,6,18.2,,1.4,1016.6
119,¼ö¿ø,2020-10-14,12.9,8.2,19.5,,1.7,1020.5
119,¼ö¿ø,2020-10-15,11.2,6,18.4,,1.1,1021.5
119,¼ö¿ø,2020-10-16,11.6,6.5,16.1,,0.8,1019.4
119,¼ö¿ø,2020-10-17,12.5,7.9,18.6,0.3,1.2,1018.8
119,¼ö¿ø,2020-10-18,12.6,5.7,19.5,,1.2,1019.6
119,¼ö¿ø,2020-10-19,14,7.1,21,,1.1,1020.5
119,¼ö¿ø,2020-10-20,13.8,7.3,21.6,,0.9,1021.1
119,¼ö¿ø,2020-10-21,14,9.9,17.3,,1.1,1014.4
119,¼ö¿ø,2020-10-22,13.2,8.1,18.8,,2.4,1009.4
119,¼ö¿ø,2020-10-23,8.7,5.1,12.9,,2.9,1010.8
119,¼ö¿ø,2020-10-24,8.5,3.1,14.1,,2.1,1014.7
119,¼ö¿ø,2020-10-25,10.8,3.7,18,,1.3,1015.8
119,¼ö¿ø,2020-10-26,11.4,5,18.9,,1.1,1015.7
119,¼ö¿ø,2020-10-27,12.6,6.6,19.5,,1,1016.8
119,¼ö¿ø,2020-10-28,13.6,9.3,19,,1.9,1018.3
119,¼ö¿ø,2020-10-29,9.5,2.2,16.4,,1.2,1019.6
119,¼ö¿ø,2020-10-30,10.4,3.1,19,,0.9,1020.9
119,¼ö¿ø,2020-10-31,12.9,5.7,18.6,,1.6,1019.9
119,¼ö¿ø,2020-11-01,12.9,11.7,13.8,3.4,1.5,1015.4
119,¼ö¿ø,2020-11-02,10.7,5.8,16.2,0.3,1.7,1016
119,¼ö¿ø,2020-11-03,5.4,2.5,9,1.4,3.6,1017.8
119,¼ö¿ø,2020-11-04,4.9,-0.4,10.7,,1.9,1021.3
119,¼ö¿ø,2020-11-05,8.6,0.7,15.5,,0.9,1022.6
119,¼ö¿ø,2020-11-06,12.9,8.6,16.8,,1,1016.9
119,¼ö¿ø,2020-11-07,13.3,9,17.5,,2.2,1013.7
119,¼ö¿ø,2020-11-08,8.3,3.7,12.4,,2.9,1018.1
119,¼ö¿ø,2020-11-09,5.9,0.9,9.8,0,1.4,1021.2
119,¼ö¿ø,2020-11-10,6.7,-0.1,13.3,,1.7,1024
119,¼ö¿ø,2020-11-11,7.9,0.8,16.4,,0.8,1027.2
119,¼ö¿ø,2020-11-12,9,1.8,17.8,,0.9,1025.8
119,¼ö¿ø,2020-11-13,10.2,4.8,17,,0.8,1024.2
